ordered_item_id(pk),order_id,product_id,quantity,unit_price
9954,1001,100,4,19.99
9965,1001,223,5,24.99
10001,1002,187,6,12.99
6352,1003,81,5,19.99
8219,1004,42,5,15
1574,1005,163,8,69.99
8674,1006,182,3,379.99
9462,1007,205,6,24.99
10002,1008,111,8,8.99
10003,1009,112,1,84.99
10004,1010,69,6,42.99
10005,1011,214,6,24.99
1654,1012,90,6,11.99
3010,1012,172,5,379.99
7480,1012,53,4,59.99
10006,1013,217,8,24.99
76,1014,157,5,69.99
772,1014,213,3,12.99
2827,1015,182,4,379.99
8312,1015,228,3,24.99
1508,1016,223,1,24.99
2950,1017,223,2,24.99
9810,1017,109,1,84.99
4915,1018,214,1,24.99
10007,1019,128,3,12.99
3946,1020,131,8,15.99
10008,1021,207,5,24.99
9100,1022,53,5,59.99
6727,1023,39,3,59.99
7926,1024,95,2,11.99
4968,1025,48,3,15
10009,1026,180,8,199.99
1100,1027,143,7,33.99
10010,1028,144,1,12.99
2695,1029,65,4,31.99
3425,1029,84,2,11.99
1113,1030,146,3,12.99
6752,1031,40,8,5.49
10011,1032,46,2,21.99
6632,1033,112,8,84.99
10012,1034,84,2,11.99
7010,1035,222,8,12.99
4979,1036,171,8,69.99
5702,1037,113,4,9.99
5876,1037,194,1,16.99
10013,1038,278,8,12.99
128,1039,27,5,5.49
2739,1039,161,8,199.99
4982,1039,56,6,76.99
8670,1039,212,4,16.99
3068,1040,19,7,21.99
10014,1041,256,7,24.99
6143,1042,109,7,84.99
7375,1042,257,4,44.99
7814,1043,4,7,5.49
4126,1044,82,1,11.99
5422,1045,6,1,18.99
6945,1046,90,8,11.99
7930,1047,186,8,16.99
1607,1048,228,4,24.99
7812,1048,102,2,42.99
8587,1048,238,1,24.99
9761,1048,181,6,69.99
9169,1049,85,7,42.99
10015,1050,47,4,59.99
2260,1051,137,4,15.99
4652,1051,278,2,12.99
5730,1051,152,8,199.99
3040,1052,65,4,31.99
2432,1053,126,1,27.99
3069,1054,188,6,17.99
10016,1055,160,6,199.99
7759,1056,55,2,18.99
6318,1057,160,8,199.99
6718,1057,84,5,11.99
10017,1058,89,1,7.49
10018,1059,142,7,12.99
2641,1060,183,1,69.99
6648,1061,214,1,24.99
10019,1062,235,3,16.99
7597,1063,42,1,15
8727,1063,217,2,24.99
10020,1064,165,1,379.99
10021,1065,146,6,12.99
10022,1066,70,4,31.99
5207,1067,275,4,24.99
