order_id,customer_id,order_total,payment_type,order_status,order_date
1001,1,204.91,Credit Card,Completed,8/2/2024
1002,2,77.94,PayPal,Completed,9/3/2024
1003,3,99.95,Debit Card,Cancelled,12/6/2024
1004,4,75,PayPal,Pending,7/22/2024
1005,5,559.92,Credit Card,Cancelled,4/8/2024
1006,6,1139.97,PayPal,Cancelled,7/3/2024
1007,7,149.94,Credit Card,Pending,3/10/2024
1008,8,71.92,Credit Card,Completed,12/20/2024
1009,9,84.99,PayPal,Completed,10/21/2024
1010,10,257.94,PayPal,Completed,2/19/2024
1011,11,149.94,PayPal,Pending,12/5/2024
1012,12,2211.85,Debit Card,Completed,8/7/2024
1013,13,199.92,Credit Card,Completed,5/17/2024
1014,14,388.92,Credit Card,Cancelled,4/3/2024
1015,15,1594.93,Credit Card,Completed,5/12/2024
1016,16,24.99,PayPal,Completed,5/24/2024
1017,17,134.97,PayPal,Cancelled,3/7/2024
1018,18,24.99,PayPal,Pending,3/10/2024
1019,19,38.97,Debit Card,Pending,5/22/2024
1020,20,127.92,Credit Card,Completed,6/11/2024
1021,21,124.95,Debit Card,Completed,4/22/2024
1022,22,299.95,Debit Card,Cancelled,1/12/2024
1023,23,179.97,Credit Card,Completed,2/21/2024
1024,24,23.98,PayPal,Completed,1/26/2024
1025,25,45,PayPal,Completed,8/11/2024
1026,26,1599.92,Credit Card,Completed,9/5/2024
1027,27,237.93,PayPal,Cancelled,1/20/2024
1028,28,12.99,Credit Card,Pending,7/15/2024
1029,29,151.94,Credit Card,Completed,3/3/2024
1030,30,38.97,Credit Card,Completed,1/19/2024
1031,31,43.92,Credit Card,Completed,12/25/2024
1032,32,43.98,Credit Card,Cancelled,11/13/2024
1033,33,679.92,Credit Card,Completed,12/11/2024
1034,34,23.98,Debit Card,Pending,1/6/2024
1035,35,103.92,Credit Card,Completed,8/29/2024
1036,36,559.92,Credit Card,Pending,5/31/2024
1037,37,56.95,PayPal,Completed,9/12/2024
1038,38,103.92,Credit Card,Pending,5/13/2024
1039,39,2157.27,Debit Card,Completed,12/7/2024
1040,40,153.93,PayPal,Completed,12/28/2024
1041,41,174.93,Credit Card,Completed,2/5/2024
1042,42,774.89,Credit Card,Pending,7/23/2024
1043,43,38.43,Credit Card,Completed,3/30/2024
1044,44,11.99,Credit Card,Pending,11/21/2024
1045,45,18.99,Credit Card,Completed,7/20/2024
1046,46,95.92,PayPal,Completed,12/28/2024
1047,47,135.92,PayPal,Pending,7/11/2024
1048,48,630.87,Credit Card,Cancelled,12/23/2024
1049,49,300.93,Credit Card,Pending,10/28/2024
1050,50,239.96,Credit Card,Pending,1/15/2024
1051,51,1689.86,Debit Card,Completed,3/27/2024
1052,52,127.96,Debit Card,Pending,7/5/2024
1053,53,27.99,Credit Card,Completed,1/31/2024
1054,54,107.94,Debit Card,Completed,3/26/2024
1055,55,1199.94,Credit Card,Pending,3/23/2024
1056,56,37.98,Credit Card,Completed,12/5/2024
1057,57,1659.87,Credit Card,Completed,3/10/2024
1058,58,7.49,Credit Card,Pending,2/4/2024
1059,59,90.93,Credit Card,Completed,10/30/2024
1060,60,69.99,Credit Card,Completed,1/7/2024
1061,61,24.99,Debit Card,Pending,3/9/2024
1062,62,50.97,Debit Card,Cancelled,2/17/2024
1063,63,64.98,Credit Card,Completed,2/13/2024
1064,64,379.99,PayPal,Completed,5/17/2024
1065,65,77.94,PayPal,Cancelled,3/21/2024
1066,66,127.96,PayPal,Cancelled,9/3/2024
1067,67,99.96,Debit Card,Pending,1/27/2024
1068,68,798.95,Credit Card,Cancelled,9/10/2024
1069,69,174.93,Credit Card,Pending,7/6/2024
1070,70,269.94,Debit Card,Completed,4/16/2024
1071,71,99.96,PayPal,Completed,11/26/2024
1072,72,167.94,PayPal,Completed,5/18/2024
1073,73,349.95,PayPal,Pending,3/14/2024
1074,74,45,Debit Card,Completed,6/12/2024
1075,75,96.95,Credit Card,Completed,2/19/2024
1076,76,113.94,PayPal,Completed,4/4/2024
1077,77,31.99,Credit Card,Pending,11/9/2024
1078,78,124.95,PayPal,Completed,4/30/2024
1079,79,319.9,PayPal,Cancelled,5/28/2024
1080,80,44.94,Debit Card,Completed,7/27/2024
1081,81,461.94,Credit Card,Completed,4/17/2024
1082,82,228.93,Credit Card,Pending,3/9/2024
1083,83,139.98,Debit Card,Cancelled,12/16/2024
1084,84,119.98,Debit Card,Cancelled,2/21/2024
1085,85,244.91,Credit Card,Cancelled,6/27/2024
1086,86,199.92,Credit Card,Completed,3/11/2024
1087,87,51.96,Credit Card,Completed,5/20/2024
1088,88,99.96,Debit Card,Completed,1/26/2024
1089,89,62.93,Credit Card,Cancelled,8/1/2024
1090,90,37.45,Credit Card,Pending,1/6/2024
1091,91,69.99,Credit Card,Pending,7/15/2024
1092,92,237.93,Debit Card,Cancelled,2/1/2024
1093,93,489.93,Credit Card,Completed,9/26/2024
1094,94,379.99,PayPal,Completed,8/31/2024
1095,95,83.97,Debit Card,Completed,2/12/2024
1096,96,119.98,Credit Card,Completed,12/23/2024
1097,97,899.92,Debit Card,Completed,12/10/2024
1098,98,124.95,Debit Card,Completed,5/7/2024
1099,99,135.96,Credit Card,Cancelled,8/12/2024
1100,100,246.93,Debit Card,Completed,11/1/2024
1101,101,615.92,PayPal,Completed,11/17/2024
1102,102,59.92,Debit Card,Pending,11/20/2024
1103,103,179.97,Credit Card,Cancelled,8/12/2024
1104,104,37.45,Debit Card,Cancelled,9/10/2024
1105,105,199.92,Credit Card,Cancelled,11/23/2024
1106,106,359.87,PayPal,Pending,12/3/2024
1107,107,132.93,Debit Card,Completed,4/15/2024
1108,108,151.92,Credit Card,Pending,6/9/2024
1109,109,19.98,Credit Card,Cancelled,1/22/2024
1110,110,71.96,Debit Card,Completed,6/26/2024
1111,111,1199.94,PayPal,Completed,10/14/2024
1112,112,314.86,Credit Card,Pending,8/21/2024
1113,113,69.99,PayPal,Completed,10/14/2024
1114,114,213.96,PayPal,Completed,3/15/2024
1115,115,314.93,Credit Card,Pending,8/28/2024
1116,116,74.97,Credit Card,Pending,4/3/2024
1117,117,245.88,Credit Card,Completed,10/5/2024
1118,118,77.94,Debit Card,Completed,9/3/2024
1119,119,179.96,Credit Card,Cancelled,8/2/2024
1120,120,111.93,Credit Card,Completed,11/22/2024
1121,121,179.96,Credit Card,Completed,4/22/2024
1122,122,29.97,Credit Card,Cancelled,7/16/2024
1123,123,199.92,PayPal,Pending,7/8/2024
1124,124,250.89,Debit Card,Cancelled,11/6/2024
1125,125,151.92,Credit Card,Pending,3/5/2024
1126,126,199.92,Credit Card,Pending,8/17/2024
1127,127,24.99,PayPal,Cancelled,1/14/2024
1128,128,715.83,Credit Card,Completed,5/21/2024
1129,129,224.95,PayPal,Cancelled,8/17/2024
1130,130,45,PayPal,Completed,5/7/2024
1131,131,25.98,Credit Card,Pending,5/12/2024
1132,132,27.99,PayPal,Completed,7/9/2024
1133,133,1199.94,PayPal,Completed,4/28/2024
1134,134,199.92,Debit Card,Completed,3/23/2024
1135,135,349.95,Credit Card,Completed,12/29/2024
1136,136,174.93,PayPal,Completed,6/10/2024
1137,137,16.47,Credit Card,Completed,4/21/2024
1138,138,159.92,Debit Card,Pending,1/13/2024
1139,139,387.91,PayPal,Cancelled,8/13/2024
1140,140,74.97,Debit Card,Cancelled,1/9/2024
1141,141,1399.93,PayPal,Cancelled,10/16/2024
1142,142,62.93,Credit Card,Completed,5/12/2024
1143,143,167.94,Credit Card,Cancelled,12/20/2024
1144,144,127.96,Credit Card,Cancelled,8/27/2024
1145,145,223.93,PayPal,Cancelled,9/11/2024
1146,146,94.4,Credit Card,Cancelled,4/28/2024
1147,147,1000.87,PayPal,Completed,2/15/2024
1148,148,2659.93,Debit Card,Pending,9/10/2024
1149,149,71.94,PayPal,Completed,7/7/2024
1150,150,103.92,Debit Card,Pending,5/16/2024
1151,151,149.94,PayPal,Completed,12/18/2024
1152,152,63.98,Credit Card,Pending,12/17/2024
1153,153,21.96,Debit Card,Cancelled,11/17/2024
1154,154,25.98,Debit Card,Cancelled,6/11/2024
1155,155,379.99,Credit Card,Completed,9/14/2024
1156,156,35.96,Credit Card,Completed,2/14/2024
1157,157,197.91,Debit Card,Pending,1/24/2024
1158,158,419.93,Debit Card,Pending,3/23/2024
1159,159,67.98,Debit Card,Pending,12/22/2024
1160,160,139.93,Credit Card,Completed,11/6/2024
1161,161,119.98,Credit Card,Completed,7/27/2024
1162,162,43.98,Credit Card,Cancelled,5/13/2024
1163,163,27.99,PayPal,Pending,8/12/2024
1164,164,249.9,Credit Card,Completed,11/25/2024
1165,165,1199.94,Credit Card,Completed,7/7/2024
1166,166,135.96,PayPal,Cancelled,4/17/2024
1167,167,62.93,Debit Card,Cancelled,11/6/2024
1168,168,459.89,Debit Card,Completed,1/19/2024
1169,169,199.92,PayPal,Cancelled,9/30/2024
1170,170,14.98,Credit Card,Completed,7/24/2024
1171,171,679.92,Credit Card,Pending,1/3/2024
1172,172,128.97,PayPal,Completed,5/19/2024
1173,173,1899.95,Credit Card,Pending,2/25/2024
1174,174,84.95,Credit Card,Pending,2/14/2024
1175,175,88.92,Debit Card,Pending,4/16/2024
1176,176,321.84,Credit Card,Pending,1/7/2024
1177,177,343.92,Debit Card,Completed,7/14/2024
1178,178,113.94,Credit Card,Completed,12/17/2024
1179,179,3039.92,Debit Card,Pending,11/7/2024
1180,180,131.94,Credit Card,Completed,8/7/2024
1181,181,209.97,Credit Card,Completed,7/9/2024
1182,182,105,PayPal,Completed,11/18/2024
1183,183,291.9,Credit Card,Pending,2/14/2024
1184,184,71.92,PayPal,Pending,11/19/2024
1185,185,530.85,Credit Card,Cancelled,9/7/2024
1186,186,29.96,PayPal,Cancelled,12/9/2024
1187,187,349.86,Credit Card,Cancelled,8/17/2024
1188,188,655.84,Credit Card,Cancelled,6/8/2024
1189,189,419.93,Credit Card,Completed,7/3/2024
1190,190,89.94,Credit Card,Completed,2/16/2024
1191,191,124.95,Credit Card,Pending,1/31/2024
1192,192,34.98,Debit Card,Completed,2/25/2024
1193,193,266.93,PayPal,Cancelled,4/17/2024
1194,194,399.98,Credit Card,Cancelled,7/14/2024
1195,195,1468.84,Credit Card,Completed,4/5/2024
1196,196,307.96,Credit Card,Completed,10/5/2024
1197,197,63.98,Debit Card,Cancelled,6/23/2024
1198,198,17.98,Credit Card,Completed,12/17/2024
1199,199,124.95,Credit Card,Completed,5/1/2024
1200,200,39.98,Credit Card,Cancelled,5/1/2024
1201,201,60,Credit Card,Pending,11/14/2024
1202,202,254.97,Debit Card,Pending,11/2/2024
1203,203,19.99,PayPal,Cancelled,9/15/2024
1204,204,19.99,Credit Card,Pending,10/15/2024
1205,205,2279.94,PayPal,Pending,6/9/2024
1206,206,56.97,Debit Card,Completed,12/20/2024
1207,207,63.98,Debit Card,Completed,3/19/2024
1208,208,149.94,PayPal,Pending,8/12/2024
1209,209,271.92,PayPal,Completed,7/2/2024
1210,210,67.98,PayPal,Completed,9/28/2024
1211,211,12.99,PayPal,Pending,4/16/2024
1212,212,99.95,Credit Card,Cancelled,10/13/2024
1213,213,1474.9,Credit Card,Completed,2/24/2024
1214,214,89.95,Debit Card,Completed,8/14/2024
1215,215,595.88,Credit Card,Cancelled,3/5/2024
1216,216,203.94,Debit Card,Completed,6/17/2024
1217,217,1536.43,PayPal,Pending,4/15/2024
1218,218,140.94,Credit Card,Cancelled,8/3/2024
1219,219,479.92,Credit Card,Pending,6/13/2024
1220,220,279.96,PayPal,Completed,12/6/2024
1221,221,74.97,Credit Card,Pending,3/7/2024
1222,222,105,Credit Card,Completed,3/1/2024
1223,223,67.96,Debit Card,Cancelled,6/22/2024
1224,224,103.92,Debit Card,Completed,12/21/2024
1225,225,35.97,Credit Card,Completed,11/2/2024
1226,226,3105.89,Debit Card,Cancelled,4/2/2024
1227,227,274.89,Credit Card,Pending,12/21/2024
1228,228,139.95,PayPal,Completed,2/3/2024
1229,229,379.99,Debit Card,Cancelled,1/10/2024
1230,230,151.92,Credit Card,Pending,7/17/2024
1231,231,35.98,Credit Card,Completed,8/30/2024
1232,232,479.92,Debit Card,Completed,11/4/2024
1233,233,16.47,Debit Card,Cancelled,9/6/2024
1234,234,117.97,Debit Card,Cancelled,3/4/2024
1235,235,174.93,Credit Card,Completed,7/11/2024
1236,236,2659.93,Credit Card,Completed,3/3/2024
1237,237,759.98,Debit Card,Completed,3/15/2024
1238,238,141.92,Debit Card,Completed,9/15/2024
1239,239,87.96,Credit Card,Pending,10/25/2024
1240,240,199.99,PayPal,Cancelled,1/28/2024
1241,241,359.92,PayPal,Pending,3/6/2024
1242,242,425.88,Debit Card,Cancelled,1/22/2024
1243,243,2831.89,Credit Card,Completed,3/13/2024
1244,244,799.96,PayPal,Cancelled,11/20/2024
1245,245,1399.93,Debit Card,Pending,8/24/2024
1246,246,49.98,PayPal,Completed,9/5/2024
1247,247,175.92,PayPal,Completed,12/30/2024
1248,248,69.93,Credit Card,Cancelled,5/13/2024
1249,249,23.98,Credit Card,Cancelled,6/3/2024
1250,250,679.9,Credit Card,Completed,12/16/2024
1251,251,38.43,PayPal,Completed,8/10/2024
1252,252,45,Credit Card,Completed,3/19/2024
1253,253,191.92,Credit Card,Completed,11/22/2024
1254,254,56.97,Debit Card,Pending,1/20/2024
